;placeID;alcohol;have_smoking_area;dress_code;accessibility;price;Rambience;franchise;other_services;Rcuisine_Type;parking_lot;parking;CreditCardAccepts
0;0;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Asian;none;no;no
3;1;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;none;no;no
6;2;Wine-Beer;yes;informal;yes;medium;familiar;yes;none;South_American;none;no;yes
15;3;No_Alcohol_Served;no;informal;yes;low;familiar;no;none;Middle East;none;no;no
18;4;No_Alcohol_Served;yes;informal;yes;medium;familiar;no;none;South_American;yes;yes;no
30;5;No_Alcohol_Served;no;casual;yes;low;familiar;yes;none;South_American;none;no;no
33;6;Wine-Beer;yes;informal;no;high;familiar;no;Internet;Asian;valet parking;yes;yes
48;7;No_Alcohol_Served;no;informal;yes;low;quiet;no;none;Fast_Food;yes;yes;no
57;8;Wine-Beer;no;informal;no;low;familiar;yes;none;Bar;yes;yes;no
84;9;No_Alcohol_Served;no;informal;no;medium;familiar;no;none;Fast_Food;yes;yes;yes
102;10;No_Alcohol_Served;no;informal;no;low;familiar;yes;none;Fast_Food;none;no;no
105;11;Wine-Beer;no;informal;yes;medium;familiar;yes;none;International;yes;yes;yes
114;12;Full_Bar;yes;informal;yes;low;quiet;yes;variety;Bar;none;no;no
117;13;Wine-Beer;no;informal;yes;low;familiar;yes;none;Mediterranean;none;no;no
120;14;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;none;no;no
135;15;Wine-Beer;no;casual;yes;high;familiar;yes;none;International;valet parking;yes;yes
150;16;Full_Bar;yes;informal;no;high;familiar;yes;none;Bar;yes;yes;yes
168;17;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;"North_American;Game";yes;yes;no
177;18;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Asian;none;no;no
180;19;No_Alcohol_Served;no;casual;yes;medium;familiar;no;none;Family;none;no;yes
204;20;No_Alcohol_Served;no;informal;no;high;familiar;yes;none;Mediterranean;yes;yes;yes
225;21;No_Alcohol_Served;yes;informal;no;high;familiar;yes;none;"Coffee_Shop;Fast_Food";yes;yes;yes
273;22;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;South_American;none;no;yes
285;23;No_Alcohol_Served;no;informal;no;medium;quiet;yes;Internet;Coffee_Shop;none;no;no
291;24;Wine-Beer;yes;informal;no;medium;familiar;yes;none;Bar;yes;yes;yes
303;25;No_Alcohol_Served;no;informal;no;high;familiar;yes;none;Asian;none;no;yes
318;26;No_Alcohol_Served;no;informal;yes;medium;familiar;no;none;Breakfast;yes;yes;yes
330;27;Wine-Beer;no;informal;no;medium;familiar;yes;none;"Bar;Coffee_Shop";none;no;no
336;28;No_Alcohol_Served;yes;informal;yes;low;quiet;no;none;South_American;public;yes;no
339;29;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Fast_Food;yes;yes;yes
351;30;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Fast_Food;yes;yes;no
354;31;Wine-Beer;no;informal;yes;medium;familiar;yes;none;South_American;none;no;no
357;32;Wine-Beer;no;informal;yes;low;familiar;no;variety;Bar;none;no;yes
372;33;Wine-Beer;yes;informal;no;medium;familiar;yes;none;Bar;yes;yes;no
414;34;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Asian;none;no;yes
426;35;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Mediterranean;none;no;no
429;36;No_Alcohol_Served;yes;informal;no;high;familiar;yes;none;South_American;yes;yes;yes
444;37;Wine-Beer;yes;informal;no;high;familiar;yes;none;Contemporary;public;yes;yes
453;38;Full_Bar;yes;informal;yes;medium;familiar;yes;variety;South_American;yes;yes;yes
486;39;Full_Bar;yes;informal;yes;medium;familiar;yes;none;South_American;public;yes;yes
495;40;No_Alcohol_Served;no;informal;no;low;familiar;no;none;Fast_Food;public;yes;no
498;41;Full_Bar;no;informal;no;high;familiar;yes;none;Bar;none;no;yes
516;42;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;South_American;none;no;no
522;43;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;Fast_Food;none;no;no
525;44;Full_Bar;no;informal;no;high;familiar;yes;none;Bar;none;no;no
537;45;Full_Bar;no;informal;yes;medium;familiar;no;variety;South_American;yes;yes;yes
546;46;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;none;no;no
558;47;No_Alcohol_Served;no;casual;yes;low;familiar;yes;none;North_American;yes;yes;no
561;48;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;none;no;no
564;49;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Asian;none;no;no
567;50;No_Alcohol_Served;yes;informal;no;high;familiar;yes;none;Mediterranean;yes;yes;yes
579;51;Full_Bar;yes;informal;no;medium;familiar;yes;none;Bar;yes;yes;yes
603;52;No_Alcohol_Served;no;casual;no;low;familiar;yes;none;South_American;public;yes;no
606;53;No_Alcohol_Served;yes;casual;no;low;familiar;yes;none;International;none;no;no
609;54;Wine-Beer;no;informal;no;high;familiar;yes;none;Bar;yes;yes;yes
621;55;No_Alcohol_Served;no;informal;yes;medium;familiar;yes;none;Fast_Food;public;yes;no
624;56;No_Alcohol_Served;no;informal;yes;medium;familiar;no;none;Fast_Food;yes;yes;yes
639;57;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;Coffee_Shop;public;yes;no
642;58;No_Alcohol_Served;yes;informal;yes;low;familiar;yes;none;South_American;none;no;no
648;59;Wine-Beer;yes;informal;no;low;familiar;yes;none;"Family;South_American";none;no;no
654;60;No_Alcohol_Served;no;informal;no;medium;familiar;no;none;South_American;public;yes;yes
660;61;No_Alcohol_Served;no;informal;yes;medium;familiar;yes;none;North_American;public;yes;yes
669;62;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;Coffee_Shop;yes;yes;no
672;63;No_Alcohol_Served;no;informal;yes;low;quiet;no;none;North_American;none;no;yes
687;64;No_Alcohol_Served;no;informal;yes;medium;familiar;no;none;Fast_Food;yes;yes;yes
699;65;No_Alcohol_Served;yes;formal;yes;medium;familiar;yes;none;Coffee_Shop;none;no;no
702;66;No_Alcohol_Served;no;informal;no;low;quiet;yes;none;South_American;none;no;no
705;67;Wine-Beer;no;informal;no;medium;familiar;yes;none;South_American;none;no;yes
717;68;Wine-Beer;yes;casual;yes;medium;familiar;yes;variety;Asian;yes;yes;yes
726;69;No_Alcohol_Served;yes;informal;no;low;familiar;yes;none;Mediterranean;yes;yes;no
732;70;No_Alcohol_Served;no;informal;yes;medium;familiar;yes;variety;South_American;public;yes;yes
744;71;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Fast_Food;none;no;no
753;72;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Mediterranean;none;no;no
756;73;Wine-Beer;yes;informal;no;high;familiar;yes;none;Bar;yes;yes;yes
774;74;No_Alcohol_Served;yes;informal;no;low;familiar;yes;none;South_American;public;yes;no
777;75;No_Alcohol_Served;no;informal;no;low;familiar;yes;none;"South_American;Mediterranean;Fast_Food";yes;yes;yes
789;76;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Mediterranean;yes;yes;no
795;77;Wine-Beer;yes;casual;yes;low;quiet;yes;none;Bar;none;no;no
798;78;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;public;yes;no
801;79;Wine-Beer;no;formal;no;high;familiar;yes;none;International;yes;yes;no
807;80;Wine-Beer;no;informal;no;medium;familiar;yes;none;Asian;yes;yes;no
810;81;No_Alcohol_Served;no;informal;no;low;quiet;yes;none;Coffee_Shop;public;yes;no
813;82;No_Alcohol_Served;no;informal;no;medium;familiar;no;none;Fast_Food;public;yes;yes
822;83;No_Alcohol_Served;no;informal;yes;medium;familiar;yes;none;South_American;none;no;no
825;84;No_Alcohol_Served;no;informal;yes;medium;familiar;no;none;South_American;yes;yes;no
828;85;Wine-Beer;yes;informal;no;medium;familiar;yes;none;"Coffee_Shop;Contemporary";public;yes;yes
846;86;Wine-Beer;no;informal;no;medium;familiar;yes;none;South_American;none;no;yes
858;87;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Fast_Food;public;yes;no
861;88;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;South_American;none;no;no
864;89;No_Alcohol_Served;no;informal;yes;medium;familiar;no;none;Mediterranean;yes;yes;yes
870;90;No_Alcohol_Served;no;informal;yes;low;familiar;no;none;North_American;none;no;yes
874;91;No_Alcohol_Served;no;informal;yes;medium;familiar;yes;none;"Bakery;Coffee_Shop";yes;yes;no
880;92;No_Alcohol_Served;no;informal;no;medium;familiar;yes;none;Asian;none;no;yes
892;93;Wine-Beer;no;informal;no;medium;quiet;yes;Internet;Mediterranean;none;no;no
895;94;No_Alcohol_Served;no;informal;yes;low;familiar;yes;none;Bar;none;no;no
